data.id,data.name,data.symbol,data.slug,data.circulating_supply,data.quote.USD.price,data.quote.USD.market_cap
131,Dash,DASH,dash,"12609820,76","33,10524561","417451213,3"
2011,Tezos,XTZ,tezos,1076979052,"0,3818261169","411218729,4"
26081,First Digital USD,FDUSD,first-digital-usd,380413815,"1,00042757","380576468,6"
29814,ether.fi,ETHFI,ether-fi-ethfi,744064067,"0,5045085132","375386656,2"
6538,Curve DAO Token,CRV,curve-dao-token,1469205503,"0,2474230665",363515331
3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,2260959691,"0,1558003176","352258237,9"
4066,Chiliz,CHZ,chiliz,10304071466,"0,03395717905","349897199,7"
39125,Lighter,LIT,lighter,250000000,"1,395869945","348967486,3"
32880,Kaia,KAIA,kaia,6256319891,"0,05544868529","346904712,7"
1659,Gnosis,GNO,gnosis-gno,"2639298,415","129,3707433","341447997,8"
16086,BitTorrent [New],BTT,bittorrent-new,987037885840675,"0,0000003406606632","336244980,8"
9816,AINFT,NFT,apenft,990105592982875,"0,0000003343058525","330998094,3"
